year,train_data_size,test_data_size
2011,1000000,588306
2011,999999,490320
2011,1000000,674009
2012,1000000,237736
2013,1000000,631490
2014,1000000,1402103
2014,1000000,1063706
2014,999999,1220817
2015,1000000,1959320
2016,1000000,1937169
2017,1000000,1911755
